station_id,station_name,nb_available_bikes
19120,Carducci - Place Hannah Arendt,25
5004,Saint-Jacques - Val de Grâce,19
19103,Manin - Carrières d'Amérique,12
12114,Victor Hugo - Jeanne Jugan,21
14138,Porte de Vanves,27
11046,Place de la République - Voltaire,5
46003,Conservatoire de Musique,8
10017,Gare de l'Est - Fidélité,7
48008,Guy Môquet - Parvis Georges Marchais,23
18028,Championnet - Vauvenargues,0
10024,Buisson Saint-Louis - Saint-Maur,11
18031,Place Albert Kahn,16
22202,Jean Marin Naudin - Stalingrad,20
42014,Place Marcel Cachin,24
10153,Gare du Nord - Denain,15
15054,Lecourbe - Jean Maridor,7
15106,Grenelle - Violet,11
20131,Repos - Cimetière du Père Lachaise,0
14008,Mouton Duvernet - Général Leclerc,31
10042,Enghien - Faubourg Poissonnière,0
1122,Pont-Neuf - Quai du Louvre,7
7101,Raspail - Chomel,19
14106,Marc Sangnier - Porte de Vanves,0
18046,Etienne Jodelle - Saint Ouen,32
21006,Marcelin Berthelot,0
22406,Guy Môquet - Etienne Dolet,14
35002,Jean Jaurès - Presles,0
31102,Boissière - Etienne Dolet,17
44013,Edouard Tremblay - Julian Grimau,16
8054,Bertie Albrecht - Hoche,27
14012,Sibelle - Alésia,23
21005,Hôtel de Ville,19
15109,Cevennes - Bergers,21
21209,Molière - République,0
13053,Chevaleret - Tolbiac,11
35010,Hoche - Jean Lolive,15
14124,David Weill - Parc Montsouris,19
92008,Hôtel de Ville,32
15110,Place Robert Guillemard,9
18022,Marcadet - Barbès,0
7002,Vaneau - Sèvres,27
21008,Victor Hugo - Galliéni,26
31008,François Debergue - Croix de Chavaux,1
21015,Nationale - Place Jules Guesde,18
44003,Gabriel Péri - Danielle Casanova,9
16122,Route de la Muette - Porte de Neuilly,22
41404,Carnot - Pâquerettes,9
22203,Tertres - Fontaine,26
41202,Gare Rer de Fontenay sous Bois,39
42021,Raspail - Manufacture des Oeillets,19
19018,Cité de la Musique,59
31016,Lucie Aubrac - Franklin,32
44004,Place de l'Eglise,11
31708,Noisy le Sec - Jean-Baptiste Clément,19
35020,Marcelle - Thalie,17
25003,Henri Ste-Claire Déville - Paul Héroult,13
20115,Louis Lumière - Porte de Bagnolet,14
31003,Paris - Emile Zola,17
22402,Jean Jaurès - Salvador Allende,34
